arch,query_pointer,symmetric,seed,parameter_count,parameter_mb,rss_mb,training_seconds,inference_latency_ms,stage1_heldout,stage2_heldout,stage3_heldout,heldout_transfer_accuracy,compositional_accuracy,bob_predicted,bob_correct,bob_error,unusual_correct,unusual_n,role_A,role_B,role_C,role_D,role_CD,relational_probe_accuracy,cf_pair_accuracy,query_collapse_rate,held_out_transfer_accuracy_per_parameter_MB,C_D_role_accuracy_per_parameter_MB,ignored_transfer,reversed_transfer,query_target_swap,other_person_quantity,wrong_arithmetic,unrelated
single_sym,False,True,1337,122978,0.4691,216.05,463.5,0.986,70.0,13.75,13.75,13.75,18.75,3,False,reversed_transfer,0,3,0.0,33.33,33.33,66.67,50.0,12.5,0.0,100.0,0.2931,1.0658,7,12,55,16,35,13
pointer,True,True,1337,138274,0.5275,327.26,445.2,1.559,53.75,33.75,37.5,35.62,37.5,7,True,exact,1,3,66.67,33.33,33.33,33.33,33.33,62.5,0.0,75.0,0.6754,0.6319,7,34,23,10,22,7
single_sym,False,True,2024,122978,0.4691,218.67,293.8,0.997,77.5,20.0,21.25,20.62,21.25,3,False,reversed_transfer,1,3,33.33,66.67,0.0,33.33,16.67,37.5,0.0,100.0,0.4396,0.3553,1,18,65,16,24,3
pointer,True,True,2024,138274,0.5275,328.23,392.4,1.52,63.75,1.25,5.0,3.12,1.25,0,False,query_target_swap,0,3,0.0,0.0,33.33,0.0,16.67,12.5,0.0,100.0,0.0592,0.316,27,6,49,21,43,9
